,Real_Labels,KMeans_Labels,Mini_Batch_KMeans,Hierarchical_Labels,Birch_Labels,GMM_Labels
0,0,4,4,1,1,4
1,0,1,2,1,1,1
2,0,1,2,1,1,1
3,1,3,4,4,4,3
4,0,4,4,1,1,4
5,2,2,4,0,0,2
6,3,2,4,0,0,2
7,4,3,3,3,3,3
8,0,4,2,1,1,4
9,4,3,3,3,3,3
10,2,0,4,2,2,0
11,4,3,3,3,3,3
12,0,4,2,1,1,4
13,0,4,2,1,1,4
14,3,2,0,0,0,2
15,3,2,4,0,0,2
16,4,3,3,3,3,3
17,3,2,0,0,0,2
18,3,2,0,0,0,2
19,1,3,4,4,4,3
20,3,2,0,0,0,2
21,4,3,3,3,3,3
22,3,2,0,0,0,2
23,3,2,4,0,0,2
24,1,3,4,4,4,3
25,0,4,2,1,1,4
26,1,3,4,4,4,3
27,3,2,0,0,0,2
28,2,0,4,1,1,0
29,0,1,2,1,1,1
30,1,3,4,4,4,3
31,4,3,4,3,3,3
32,0,1,2,1,1,1
33,2,0,4,2,2,0
34,3,2,0,0,0,2
35,4,3,3,3,3,3
36,3,2,4,0,0,2
37,3,2,4,0,0,2
38,3,2,4,0,0,2
39,1,3,4,4,4,3
40,1,4,4,1,1,4
41,3,2,4,0,0,2
42,3,2,4,0,0,2
43,1,3,3,4,4,3
44,4,3,0,3,3,3
45,4,3,4,3,3,3
46,1,3,4,1,1,3
47,1,3,4,4,4,3
48,1,3,4,4,4,3
49,0,1,2,1,1,1
50,1,3,4,4,4,3
51,3,2,4,0,0,2
52,2,0,4,2,2,0
53,3,2,0,0,0,2
54,3,2,4,0,0,2
55,4,3,3,3,3,3
56,0,4,2,1,1,4
57,0,1,2,1,1,1
58,2,0,4,2,2,0
59,3,2,4,0,0,2
60,1,3,4,1,1,3
61,0,4,4,0,0,4
62,4,3,3,3,3,3
63,1,3,3,4,4,3
64,0,4,4,1,1,4
65,3,2,0,0,0,2
66,2,0,4,2,2,0
67,2,0,4,2,2,0
68,1,4,4,1,1,4
69,1,3,4,4,4,3
70,3,2,4,0,0,2
71,1,3,4,4,4,3
72,3,2,4,0,0,2
73,3,4,4,0,0,4
74,3,2,0,0,0,2
75,0,4,2,1,1,4
76,3,2,4,0,0,2
77,0,4,4,1,1,4
78,4,3,3,3,3,3
79,0,4,4,1,1,4
80,1,3,4,1,1,3
81,0,4,2,1,1,4
82,2,0,4,2,2,0
83,2,0,4,2,2,0
84,3,2,0,0,0,2
85,3,2,0,1,1,2
86,2,0,4,2,2,0
87,4,3,4,3,3,3
88,3,2,0,0,0,2
89,3,2,4,0,0,2
90,2,0,4,2,2,0
91,1,3,4,4,4,3
92,2,0,4,1,1,0
93,3,2,4,0,0,2
94,2,0,4,2,2,0
95,0,4,4,1,1,4
96,0,4,2,1,1,4
97,0,0,4,2,2,0
98,0,4,2,1,1,4
99,3,2,4,0,0,2
100,0,4,4,1,1,4
101,2,0,4,2,2,0
102,1,3,4,4,4,3
103,1,3,4,4,4,3
104,4,3,3,3,3,3
105,2,0,4,2,2,0
106,1,3,4,4,4,3
107,0,4,4,1,1,4
108,0,4,4,1,1,4
109,0,1,2,1,1,1
110,0,1,2,1,1,1
111,4,3,4,3,3,3
112,3,2,4,0,0,2
113,0,4,4,1,1,4
114,0,4,4,1,1,4
115,0,4,2,1,1,4
116,2,0,2,2,2,0
117,0,4,2,1,1,4
118,2,0,4,2,2,0
119,3,2,4,0,0,2
120,1,3,4,4,4,3
121,3,2,4,0,0,2
122,3,2,4,0,0,2
123,2,0,4,2,2,0
124,1,3,4,4,4,3
125,1,3,4,4,4,3
126,4,3,4,4,4,3
127,3,2,0,0,0,2
128,2,0,4,2,2,0
129,0,4,4,0,0,4
130,3,2,4,0,0,2
131,0,3,4,4,4,3
132,4,3,3,3,3,3
133,3,2,4,0,0,2
134,1,3,4,4,4,3
135,4,3,3,3,3,3
136,2,0,4,2,2,0
137,0,4,4,1,1,4
138,3,2,4,0,0,2
139,4,3,3,3,3,3
140,4,3,4,3,3,3
141,0,4,4,1,1,4
142,0,1,2,1,1,1
143,3,2,4,0,0,2
144,1,3,4,4,4,3
145,2,0,4,2,2,0
146,0,1,2,1,1,1
147,0,4,4,1,1,4
148,3,2,0,0,0,2
149,4,3,3,3,3,3
150,3,2,0,0,0,2
151,3,2,4,0,0,2
152,2,0,4,2,2,0
153,2,0,4,2,2,0
154,1,3,4,4,4,3
